作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0030	0047	完了	群馬県	桐生市	住宅街	376-0007	群馬県桐生市浜松町2-11		36.400748	139.340895	"https://www.google.co.jp/maps/@36.400705,139.3409321,3a,28.5y,320.24h,89.57t/data=!3m6!1e1!3m4!1sDs90ctO_pbcV_eICStBQOg!2e0!7i13312!8i6656?hl=ja"	17.0		120	4.5		惡の華	アクノハナ	第1話冒頭の通学シーンで登場した場所。座標地点から北側を向いた構図で、田中書店越しに緩く右にカーブした道が描かれていました。春日高男はIwatani Life-UP Shop前辺りから手前に歩いてきます。同話の下校シーンでもほぼ同じ構図で登場していました。<br />第9話で、教室が荒らされた事件を受けて教師の監視の元で生徒たちが下校するシーンでも同じ構図で描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0048	完了	群馬県	桐生市	藤田アパート	376-0007	群馬県桐生市浜松町2-11		36.401933	139.340184	"https://www.google.co.jp/maps/@36.4019089,139.3400754,3a,26y,69.75h,84.49t/data=!3m6!1e1!3m4!1sVLozKVh94tFhRg2IC64crg!2e0!7i13312!8i6656?hl=ja"	17.0		120	4.5		惡の華	アクノハナ	第1話冒頭、第8話、第12話の通学シーンで、春日高男が前の道を歩いていたアパート。1階の駐車場内から道路を見た構図で描かれていました。<br />第7話で春日高男が深夜の学校に向かうシーンでも、同じ構図のカットが使われていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0049	完了	群馬県	桐生市	通学路の標識	376-0007	群馬県桐生市浜松町2-11		36.401862	139.340154	"https://www.google.co.jp/maps/@36.401904,139.3400878,3a,15y,117.98h,94.34t/data=!3m6!1e1!3m4!1ssTLKsRpFaMms2qJbwv0aHg!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第1話冒頭、第8話、第12話の通学シーンで登場した通学路の標識。角の曲がり具合も作画のままです。				キリュウシ	ア	10	15	2		
0030	0050	完了	群馬県	桐生市	丸川屋川井商店	376-0007	群馬県桐生市浜松町2-11-15		36.401028	139.340595	"https://www.google.co.jp/maps/@36.4011376,139.3405729,3a,17.1y,177.36h,87.69t/data=!3m6!1e1!3m4!1sN4BjyxSFIZq7iSUm--UXUA!2e0!7i13312!8i6656?hl=ja"	17.0		120	5	0277-44-3514	惡の華	アクノハナ	第9話で、教室が荒らされた事件を受けて教師の監視の元で生徒たちが下校するシーンで、自動販売機の前で男子生徒がふざけあっている姿が描かれていました。				キリュウシ	ア	10	15	2		
0030	0051	完了	群馬県	桐生市	小橋から望む用水路	376-0007	群馬県桐生市浜松町2-12		36.398610	139.342362	-	17.0		120	3		惡の華	アクノハナ	第8話で、深夜の学校で教室をめちゃくちゃにした春日高男と仲村佐和が家に帰るシーンで、座標地点の小橋から上流を望む構図で描かれていた水路。<br />深夜の学校帰り②			要調整	キリュウシ	ア	10	15	2		
0030	0052	完了	群馬県	桐生市	中央公園	376-0022	群馬県桐生市稲荷町1		36.408452	139.333918	-	17.0					惡の華	アクノハナ	第12話で、追いすがる春日高男から逃げ切った仲村佐和が座り込んでいた公園。				キリュウシ	ア	10	15	2		
0030	0053	完了	群馬県	桐生市	中央公園前の交差点	376-0022	群馬県桐生市稲荷町1		36.40847	139.334138	"https://www.google.co.jp/maps/@36.4085409,139.3342764,3a,30y,234.49h,95.59t/data=!3m6!1e1!3m4!1swOnmbi5AbZReBKTrhoGpUg!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第12話で、追いすがる春日高男から逃げ切った仲村佐和が座り込んでいた公園シーンの冒頭カットで。				キリュウシ	ア	10	15	2		
0030	0054	完了	群馬県	桐生市	桐生市立図書館	376-0022	群馬県桐生市稲荷町1-4		36.408627	139.33181	-	17.0		0			惡の華	アクノハナ	第2話で放課後に仲村佐和から春日高男が呼び出された学校の図書館のモデル。	http://www.library.kiryu.gunma.jp/			キリュウシ	ア	10	15	2		
0030	0055	完了	群馬県	桐生市	NTT桐生錦町ビル屋上の電波塔	376-0005	群馬県桐生市三吉町1-1-14		36.401143	139.33461	"https://www.google.co.jp/maps/@36.4011946,139.3346426,3a,15y,303.14h,105.72t/data=!3m6!1e1!3m4!1s8xxDEMgi1GjAbGBv0WUuPw!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第5話のBパート冒頭のカットで登場した電波塔。NTT桐生錦町ビルの屋上に設置されたものですが、座標地点から見たものになります。			要調整	キリュウシ	ア	10	15	2		
0030	0056	完了	群馬県	桐生市	渡良瀬川堤防路 1	376-0003	群馬県桐生市琴平町		36.394487	139.338339	-	17.0		0			惡の華	アクノハナ	第2話で佐伯奈々子の体操着を盗んでしまった春日高男が、その罪悪感からどこか遠くへ行きたいと自転車を走らせていた堤防路。座標地点から北西側の中通り大橋を望む構図で描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
