No.	確定	都道府県	市区郡	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	年	月	日	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
364		神奈川県	川崎市	藤子・F・不二雄作品の銅像 パーマン＆ブービー	214-0021	神奈川県川崎市多摩区宿河原2-46		35.613105	139.569401					モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
365		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント ウメ星デンカ	214-0023	神奈川県川崎市多摩区長尾1-1		35.612629	139.570008	"https://www.google.co.jp/maps/@35.6126671,139.5700657,3a,15y,245.29h,99.27t/data=!3m6!1e1!3m4!1sDBKT62Sp7U_XHQCryEKSeg!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
366		神奈川県	川崎市	藤子・F・不二雄作品の銅像 チンプイ	214-0023	神奈川県川崎市多摩区長尾1-1		35.612116	139.570799	"https://www.google.co.jp/maps/@35.6121098,139.5708565,3a,15y,280.1h,76.36t/data=!3m6!1e1!3m4!1s9XLkBIjvHVprvaNAXMBt0g!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
367		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント キテレツ	214-0023	神奈川県川崎市多摩区長尾1-2		35.611608	139.571482	"https://www.google.co.jp/maps/@35.6116395,139.5715171,3a,25.8y,214.93h,107.72t/data=!3m6!1e1!3m4!1sHoR5uJQPXtyUzlqDB7muWQ!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
368		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント のび太	214-0023	神奈川県川崎市多摩区長尾1-1		35.612258	139.571724	"https://www.google.co.jp/maps/@35.6122728,139.5718159,3a,15y,258.96h,97.18t/data=!3m6!1e1!3m4!1s5c5h6u1xsmVben9CRlNKrg!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
369		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント 佐倉魔美	214-0023	神奈川県川崎市多摩区長尾1-8		35.610457	139.573394	"https://www.google.co.jp/maps/@35.6105071,139.5733783,3a,15y,164.57h,89.16t/data=!3m6!1e1!3m4!1sJ1hu6M1O4eUXWJF1FPjNcw!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
370		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント ドラえもんと仲間たち	214-0023	神奈川県川崎市多摩区長尾1-8		35.610454	139.573448	"https://www.google.co.jp/maps/@35.6104992,139.5734859,3a,15y,212.9h,87.04t/data=!3m6!1e1!3m4!1sE3cDyPsbxmWWBT8HlOdXbQ!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
371	完了	神奈川県	川崎市	藤子・F・不二雄ミュージアム	214-0023	神奈川県川崎市多摩区長尾2-8-1		35.609995	139.573397		2011	9	3	ミュージアム	ミュージアム	藤子・F・不二雄の妻・藤本正子からの、漫画原画約5万点を広く市民へ展示公開したいとの申し入れを受け、川崎市と株式会社藤子・F・不二雄プロが中心となって2011年9月3日に開館した博物館。<br />藤子・F・不二雄の故郷は富山県高岡市ですが、川崎市は、藤子・F・不二雄が死去する1996年までの35年にわたって暮らした地です。	http://fujiko-museum.com/			カワサキシ	ミ	8	14	2	2
372		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント ポコニャン	214-0023	神奈川県川崎市多摩区長尾3-1		35.610017	139.576102	"https://www.google.co.jp/maps/@35.6100456,139.5760811,3a,15y,147.54h,112.4t/data=!3m6!1e1!3m4!1sil0edLlTEEFtB1ru9V9IXg!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
373		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント U子	214-0023	神奈川県川崎市多摩区長尾4-1		35.612026	139.576375	"https://www.google.co.jp/maps/@35.6120503,139.5763544,3a,15y,146.21h,111.82t/data=!3m6!1e1!3m4!1spnq8vvRMQCfln5q3ntUm3Q!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
374		神奈川県	川崎市	藤子・F・不二雄作品の銅像 モンガー＆ゴンスケ	214-0021	神奈川県川崎市多摩区宿河原2-5		35.615435	139.576917	"https://www.google.co.jp/maps/@35.6154083,139.5769888,3a,15y,292.78h,80.57t/data=!3m6!1e1!3m4!1sz3n12MS8iD-TlU0dgURigQ!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
